Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774969943,30,,Aggregated,2.600000,0.000000,2700,3600,6900,9700,19000,25000,26000,28000,28000,28000,28000,91,0,2700.0,6014.960944934084,685.2445539998371,27523.45115800017,207.03296703296704
1774969944,30,,Aggregated,2.500000,0.000000,2700,3600,6900,11000,20000,25000,28000,29000,29000,29000,29000,94,0,2700.0,6185.972498138308,685.2445539998371,28841.06839399965,206.9255319148936
1774969945,30,,Aggregated,2.500000,0.000000,2700,3600,6900,11000,20000,25000,28000,29000,29000,29000,29000,94,0,2700.0,6185.972498138308,685.2445539998371,28841.06839399965,206.9255319148936
1774969946,30,,Aggregated,2.700000,0.000000,2700,3600,6900,11000,21000,26000,29000,29000,29000,29000,29000,97,0,2700.0,6342.414022391764,685.2445539998371,29382.10144100003,206.82474226804123
1774969947,30,,Aggregated,2.700000,0.000000,2700,3600,7300,12000,22000,26000,29000,29000,29000,29000,29000,100,0,2600.0,6469.163699670009,685.2445539998371,29382.10144100003,210.77
1774969948,30,,Aggregated,2.600000,0.000000,2600,3300,7300,12000,22000,26000,28000,29000,29000,29000,29000,103,0,2600.0,6602.042690038843,685.2445539998371,29382.10144100003,210.5631067961165
1774969949,30,,Aggregated,2.600000,0.000000,2600,3300,7300,12000,22000,26000,28000,29000,29000,29000,29000,103,0,2600.0,6602.042690038843,685.2445539998371,29382.10144100003,210.5631067961165
1774969950,30,,Aggregated,2.400000,0.000000,2700,3300,7300,12000,23000,27000,29000,29000,30000,30000,30000,106,0,2700.0,6757.8166112735935,685.2445539998371,29991.161648000343,209.64150943396226
1774969951,30,,Aggregated,2.600000,0.000000,2700,3300,7300,12000,23000,27000,29000,29000,30000,30000,30000,108,0,2700.0,6684.558987083344,685.2445539998371,29991.161648000343,209.05555555555554
1774969952,30,,Aggregated,2.400000,0.000000,2700,3300,7300,12000,23000,28000,29000,30000,30000,30000,30000,111,0,2700.0,6805.608909963972,685.2445539998371,29991.161648000343,214.59459459459458
1774969953,30,,Aggregated,2.200000,0.000000,2700,3300,7300,13000,25000,28000,29000,30000,30000,30000,30000,114,0,2700.0,6919.831507096503,685.2445539998371,29991.161648000343,217.85087719298247
1774969954,30,,Aggregated,2.200000,0.000000,2700,3300,8100,13000,25000,29000,30000,30000,31000,31000,31000,116,0,2700.0,7079.337587215529,685.2445539998371,30515.964972999882,217.16379310344828
1774969955,30,,Aggregated,2.200000,0.000000,2700,3300,8100,13000,25000,29000,30000,30000,31000,31000,31000,116,0,2700.0,7079.337587215529,685.2445539998371,30515.964972999882,217.16379310344828
1774969956,30,,Aggregated,2.300000,0.000000,2700,3300,8100,14000,26000,29000,30000,31000,32000,32000,32000,119,0,2700.0,7218.464013479003,685.2445539998371,32209.20404499975,216.1764705882353
